RecordID,AccountNumber,Type,Date,Description,Outcome
8634c823-c2fd-4d5c-ac23-48dd334931f2,CA652590094,Property Ownership,2019-09-24,Routine Record,Closed
49577373-ca66-4b7c-97fb-e411f5fa3f39,CA125288047,Business Registration,2021-09-20,Routine Record,Closed
259ee8e5-55fc-4ebc-995e-312daec2a4fe,CA451351986,Business Registration,2020-08-13,Routine Record,Closed
87d706a7-f402-4255-b889-78eda14133b8,CA231718962,Property Ownership,2021-01-14,Routine Record,Active
78974e40-6b5a-4d3b-8041-0ba031af96e1,CA984237219,Business Registration,2023-02-06,Routine Record,Pending
c987bdf0-d13f-4a33-a8c9-bdf2b3db52cd,CA466926887,Business Registration,2019-03-12,Business Registration for Consulting Services,Active
089e6c05-c6d5-4970-bcbb-c4b9d099e9de,CA576991223,Property Ownership,2021-12-01,Routine Record,Pending
f9c90fea-daa0-4598-8644-bb29e7a46270,CA804502942,Property Ownership,2019-04-12,Routine Record,Pending
aeb8b884-4a2b-4033-aa02-d8aea3968132,CA354774800,Property Ownership,2021-07-13,Routine Record,Closed
c1d2a5c4-c0ff-4349-82d5-8cd3b017b0d7,CA277847109,Property Ownership,2020-02-08,Routine Record,Closed
